term	name
GO:0000002	mitochondrial genome maintenance
GO:0000003	obsolete reproduction
GO:0000011	vacuole inheritance
GO:0000012	single strand break repair
GO:0000018	regulation of DNA recombination
GO:0000019	regulation of mitotic recombination
GO:0000022	mitotic spindle elongation
GO:0000023	maltose metabolic process
GO:0000027	ribosomal large subunit assembly
GO:0000028	ribosomal small subunit assembly
GO:0000038	very long-chain fatty acid metabolic process
GO:0000041	transition metal ion transport
GO:0000045	autophagosome assembly
GO:0000050	urea cycle
GO:0000054	ribosomal subunit export from nucleus
GO:0000055	ribosomal large subunit export from nucleus
GO:0000056	ribosomal small subunit export from nucleus
GO:0000060	obsolete protein import into nucleus, translocation
GO:0000070	mitotic sister chromatid segregation
GO:0000075	cell cycle checkpoint signaling
GO:0000076	DNA replication checkpoint signaling
GO:0000077	DNA damage checkpoint signaling
GO:0000079	regulation of cyclin-dependent protein serine/threonine kinase activity
GO:0000082	G1/S transition of mitotic cell cycle
GO:0000083	obsolete regulation of transcription involved in G1/S transition of mitotic cell cycle
GO:0000086	G2/M transition of mitotic cell cycle
GO:0000096	sulfur amino acid metabolic process
GO:0000097	sulfur amino acid biosynthetic process
GO:0000098	sulfur amino acid catabolic process
GO:0000101	sulfur amino acid transport
GO:0000103	sulfate assimilation
GO:0000105	L-histidine biosynthetic process
GO:0000122	negative regulation of transcription by RNA polymerase II
GO:0000147	actin cortical patch assembly
GO:0000154	rRNA modification
GO:0000160	phosphorelay signal transduction system
GO:0000162	tryptophan biosynthetic process
GO:0000165	MAPK cascade
GO:0000184	nuclear-transcribed mRNA catabolic process, nonsense-mediated decay
GO:0000186	obsolete activation of MAPKK activity
GO:0000187	obsolete activation of MAPK activity
GO:0000188	obsolete inactivation of MAPK activity
GO:0000209	protein polyubiquitination
GO:0000212	meiotic spindle organization
GO:0000226	microtubule cytoskeleton organization
GO:0000244	spliceosomal tri-snRNP complex assembly
GO:0000245	spliceosomal complex assembly
GO:0000255	allantoin metabolic process
GO:0000256	allantoin catabolic process
GO:0000266	mitochondrial fission
GO:0000270	peptidoglycan metabolic process
GO:0000271	polysaccharide biosynthetic process
GO:0000272	polysaccharide catabolic process
GO:0000278	mitotic cell cycle
GO:0000280	nuclear division
GO:0000281	mitotic cytokinesis
GO:0000288	nuclear-transcribed mRNA catabolic process, deadenylation-dependent decay
GO:0000289	nuclear-transcribed mRNA poly(A) tail shortening
GO:0000290	deadenylation-dependent decapping of nuclear-transcribed mRNA
GO:0000291	obsolete nuclear-transcribed mRNA catabolic process, exonucleolytic
GO:0000301	retrograde transport, vesicle recycling within Golgi
GO:0000302	response to reactive oxygen species
GO:0000303	response to superoxide
GO:0000304	response to singlet oxygen
GO:0000305	response to oxygen radical
GO:0000338	protein deneddylation
GO:0000349	generation of catalytic spliceosome for first transesterification step
GO:0000350	generation of catalytic spliceosome for second transesterification step
GO:0000354	cis assembly of pre-catalytic spliceosome
GO:0000373	Group II intron splicing
GO:0000375	RNA splicing, via transesterification reactions
GO:0000377	RNA splicing, via transesterification reactions with bulged adenosine as nucleophile
GO:0000379	tRNA-type intron splice site recognition and cleavage
GO:0000380	alternative mRNA splicing, via spliceosome
GO:0000381	regulation of alternative mRNA splicing, via spliceosome
GO:0000387	spliceosomal snRNP assembly
GO:0000389	mRNA 3'-splice site recognition
GO:0000393	spliceosomal conformational changes to generate catalytic conformation
GO:0000394	RNA splicing, via endonucleolytic cleavage and ligation
GO:0000395	mRNA 5'-splice site recognition
GO:0000398	mRNA splicing, via spliceosome
GO:0000413	protein peptidyl-prolyl isomerization
GO:0000414	obsolete regulation of histone H3-K36 methylation
