term	name
GO:0000109	nucleotide-excision repair complex
GO:0000110	nucleotide-excision repair factor 1 complex
GO:0000118	histone deacetylase complex
GO:0000120	RNA polymerase I transcription regulator complex
GO:0000123	histone acetyltransferase complex
GO:0000124	SAGA complex
GO:0000126	transcription factor TFIIIB complex
GO:0000131	incipient cellular bud site
GO:0000137	Golgi cis cisterna
GO:0000138	Golgi trans cisterna
GO:0000139	Golgi membrane
GO:0000145	exocyst
GO:0000151	ubiquitin ligase complex
GO:0000152	nuclear ubiquitin ligase complex
GO:0000153	cytoplasmic ubiquitin ligase complex
GO:0000159	protein phosphatase type 2A complex
GO:0000164	protein phosphatase type 1 complex
GO:0000172	ribonuclease MRP complex
GO:0000176	nuclear exosome (RNase complex)
GO:0000177	cytoplasmic exosome (RNase complex)
GO:0000178	exosome (RNase complex)
GO:0000214	tRNA-intron endonuclease complex
GO:0000220	vacuolar proton-transporting V-type ATPase, V0 domain
GO:0000221	vacuolar proton-transporting V-type ATPase, V1 domain
GO:0000228	nuclear chromosome
GO:0000229	obsolete cytoplasmic chromosome
GO:0000243	commitment complex
GO:0000274	mitochondrial proton-transporting ATP synthase, stator stalk
GO:0000276	mitochondrial proton-transporting ATP synthase complex, coupling factor F(o)
GO:0000307	cyclin-dependent protein kinase holoenzyme complex
GO:0000311	plastid large ribosomal subunit
GO:0000312	plastid small ribosomal subunit
GO:0000313	organellar ribosome
GO:0000314	organellar small ribosomal subunit
GO:0000315	organellar large ribosomal subunit
GO:0000322	storage vacuole
GO:0000323	lytic vacuole
GO:0000324	fungal-type vacuole
GO:0000325	plant-type vacuole
GO:0000326	protein storage vacuole
GO:0000329	fungal-type vacuole membrane
GO:0000331	contractile vacuole
GO:0000346	transcription export complex
GO:0000347	THO complex
GO:0000407	phagophore assembly site
GO:0000408	EKC/KEOPS complex
GO:0000418	RNA polymerase IV complex
GO:0000419	RNA polymerase V complex
GO:0000427	plastid-encoded plastid RNA polymerase complex
GO:0000428	DNA-directed RNA polymerase complex
GO:0000438	core TFIIH complex portion of holo TFIIH complex
GO:0000439	transcription factor TFIIH core complex
GO:0000444	MIS12/MIND type complex
GO:0000445	THO complex part of transcription export complex
GO:0000500	RNA polymerase I upstream activating factor complex
GO:0000502	proteasome complex
GO:0000506	glycosylphosphatidylinositol-N-acetylglucosaminyltransferase (GPI-GnT) complex
GO:0000775	chromosome, centromeric region
GO:0000776	kinetochore
GO:0000779	condensed chromosome, centromeric region
GO:0000781	chromosome, telomeric region
GO:0000782	telomere cap complex
GO:0000783	nuclear telomere cap complex
GO:0000785	chromatin
GO:0000786	nucleosome
GO:0000791	euchromatin
GO:0000792	heterochromatin
GO:0000793	condensed chromosome
GO:0000794	condensed nuclear chromosome
GO:0000795	synaptonemal complex
GO:0000796	condensin complex
GO:0000800	lateral element
GO:0000802	transverse filament
GO:0000808	origin recognition complex
GO:0000811	GINS complex
GO:0000812	Swr1 complex
GO:0000813	ESCRT I complex
GO:0000814	ESCRT II complex
GO:0000815	ESCRT III complex
GO:0000835	ER ubiquitin ligase complex
GO:0000836	Hrd1p ubiquitin ligase complex
GO:0000839	Hrd1p ubiquitin ligase ERAD-L complex
GO:0000922	spindle pole
GO:0000923	equatorial microtubule organizing center
GO:0000930	gamma-tubulin complex
GO:0000931	gamma-tubulin ring complex
GO:0000932	P-body
GO:0000935	division septum
GO:0000936	primary cell septum
GO:0000938	GARP complex
GO:0000940	outer kinetochore
GO:0000943	retrotransposon nucleocapsid
GO:0000974	Prp19 complex
GO:0001650	fibrillar center
GO:0001651	dense fibrillar component
GO:0001652	granular component
GO:0001669	acrosomal vesicle
GO:0001673	male germ cell nucleus
GO:0001674	female germ cell nucleus
GO:0001725	stress fiber
GO:0001726	ruffle
GO:0001891	phagocytic cup
GO:0001917	photoreceptor inner segment
GO:0001931	uropod
GO:0002177	manchette
GO:0002178	palmitoyltransferase complex
GO:0002199	zona pellucida receptor complex
GO:0005575	cellular_component
GO:0005576	extracellular region
GO:0005604	basement membrane
GO:0005615	extracellular space
GO:0005618	cell wall
GO:0005622	intracellular anatomical structure
GO:0005623	obsolete cell
GO:0005628	prospore membrane
GO:0005634	nucleus
GO:0005635	nuclear envelope
GO:0005637	nuclear inner membrane
GO:0005640	nuclear outer membrane
GO:0005642	annulate lamellae
GO:0005643	nuclear pore
GO:0005652	nuclear lamina
GO:0005654	nucleoplasm
