term	name
GO:0000014	single-stranded DNA endodeoxyribonuclease activity
GO:0000026	alpha-1,2-mannosyltransferase activity
GO:0000030	mannosyltransferase activity
GO:0000033	alpha-1,3-mannosyltransferase activity
GO:0000035	acyl binding
GO:0000036	acyl carrier activity
GO:0000049	tRNA binding
GO:0000062	fatty-acyl-CoA binding
GO:0000095	S-adenosyl-L-methionine transmembrane transporter activity
GO:0000099	sulfur amino acid transmembrane transporter activity
GO:0000104	succinate dehydrogenase activity
GO:0000146	microfilament motor activity
GO:0000149	SNARE binding
GO:0000150	DNA strand exchange activity
GO:0000156	phosphorelay response regulator activity
GO:0000166	nucleotide binding
GO:0000175	3'-5'-RNA exonuclease activity
GO:0000182	rDNA binding
GO:0000210	NAD+ diphosphatase activity
GO:0000213	tRNA-intron endonuclease activity
GO:0000215	tRNA 2'-phosphotransferase activity
GO:0000217	DNA secondary structure binding
GO:0000234	phosphoethanolamine N-methyltransferase activity
GO:0000247	C-8 sterol isomerase activity
GO:0000250	lanosterol synthase activity
GO:0000268	peroxisome targeting sequence binding
GO:0000285	1-phosphatidylinositol-3-phosphate 5-kinase activity
GO:0000287	magnesium ion binding
GO:0000293	ferric-chelate reductase activity
GO:0000295	adenine nucleotide transmembrane transporter activity
GO:0000339	RNA cap binding
GO:0000340	RNA 7-methylguanosine cap binding
GO:0000386	second spliceosomal transesterification activity
GO:0000400	four-way junction DNA binding
GO:0000403	Y-form DNA binding
GO:0000404	heteroduplex DNA loop binding
GO:0000406	double-strand/single-strand DNA junction binding
GO:0000700	mismatch base pair DNA N-glycosylase activity
GO:0000701	purine-specific mismatch base pair DNA N-glycosylase activity
GO:0000702	oxidized base lesion DNA N-glycosylase activity
GO:0000822	inositol hexakisphosphate binding
GO:0000827	inositol-1,3,4,5,6-pentakisphosphate kinase activity
GO:0000828	inositol hexakisphosphate kinase activity
GO:0000829	inositol heptakisphosphate kinase activity
GO:0000832	inositol hexakisphosphate 5-kinase activity
GO:0000900	mRNA regulatory element binding translation repressor activity
GO:0000976	transcription cis-regulatory region binding
GO:0000977	RNA polymerase II transcription regulatory region sequence-specific DNA binding
GO:0000978	RNA polymerase II cis-regulatory region sequence-specific DNA binding
GO:0000979	RNA polymerase II core promoter sequence-specific DNA binding
GO:0000981	DNA-binding transcription factor activity, RNA polymerase II-specific
GO:0000987	cis-regulatory region sequence-specific DNA binding
GO:0000988	obsolete transcription factor activity, protein binding
GO:0000989	obsolete transcription factor activity, transcription factor binding
GO:0000990	obsolete transcription factor activity, core RNA polymerase binding
GO:0000991	obsolete transcription factor activity, core RNA polymerase II binding
GO:0000993	RNA polymerase II complex binding
GO:0001016	RNA polymerase III transcription regulatory region sequence-specific DNA binding
GO:0001046	core promoter sequence-specific DNA binding
GO:0001067	transcription regulatory region nucleic acid binding
GO:0001076	obsolete transcription factor activity, RNA polymerase II transcription factor binding
GO:0001091	RNA polymerase II general transcription initiation factor binding
GO:0001093	TFIIB-class transcription factor binding
GO:0001094	TFIID-class transcription factor complex binding
GO:0001098	basal transcription machinery binding
GO:0001099	basal RNA polymerase II transcription machinery binding
GO:0001128	obsolete RNA polymerase II transcription coactivator activity involved in preinitiation complex assembly
GO:0001129	obsolete RNA polymerase II transcription factor activity, TBP-class protein binding, involved in preinitiation complex assembly
GO:0001132	obsolete RNA polymerase II transcription factor activity, TBP-class protein binding
GO:0001134	obsolete transcription regulator recruiting activity
GO:0001135	obsolete RNA polymerase II transcription regulator recruiting activity
GO:0001163	RNA polymerase I transcription regulatory region sequence-specific DNA binding
GO:0001164	RNA polymerase I core promoter sequence-specific DNA binding
GO:0001221	transcription coregulator binding
GO:0001223	transcription coactivator binding
GO:0001227	DNA-binding transcription repressor activity, RNA polymerase II-specific
GO:0001228	DNA-binding transcription activator activity, RNA polymerase II-specific
GO:0001530	lipopolysaccharide binding
GO:0001540	amyloid-beta binding
GO:0001653	peptide receptor activity
GO:0001664	G protein-coupled receptor binding
GO:0001671	ATPase activator activity
GO:0001758	retinal dehydrogenase activity
GO:0001786	phosphatidylserine binding
GO:0001871	obsolete pattern binding
GO:0001882	nucleoside binding
GO:0001883	purine nucleoside binding
GO:0001965	G-protein alpha-subunit binding
GO:0002020	protease binding
GO:0002039	p53 binding
GO:0002094	polyprenyltransferase activity
GO:0002151	G-quadruplex RNA binding
GO:0002153	steroid receptor RNA activator RNA binding
GO:0002161	aminoacyl-tRNA editing activity
GO:0003674	molecular_function
GO:0003676	nucleic acid binding
GO:0003677	DNA binding
GO:0003678	DNA helicase activity
GO:0003680	minor groove of adenine-thymine-rich DNA binding
GO:0003682	chromatin binding
GO:0003684	damaged DNA binding
GO:0003688	DNA replication origin binding
GO:0003690	double-stranded DNA binding
GO:0003691	double-stranded telomeric DNA binding
GO:0003696	satellite DNA binding
GO:0003697	single-stranded DNA binding
GO:0003700	DNA-binding transcription factor activity
GO:0003712	transcription coregulator activity
GO:0003713	transcription coactivator activity
GO:0003714	transcription corepressor activity
GO:0003723	RNA binding
GO:0003724	RNA helicase activity
GO:0003725	double-stranded RNA binding
GO:0003727	single-stranded RNA binding
GO:0003729	mRNA binding
GO:0003730	mRNA 3'-UTR binding
GO:0003735	structural constituent of ribosome
GO:0003743	translation initiation factor activity
GO:0003746	translation elongation factor activity
GO:0003747	translation release factor activity
GO:0003755	peptidyl-prolyl cis-trans isomerase activity
GO:0003756	protein disulfide isomerase activity
GO:0003774	cytoskeletal motor activity
GO:0003777	microtubule motor activity
GO:0003779	actin binding
GO:0003785	actin monomer binding
GO:0003796	lysozyme activity
GO:0003824	catalytic activity
