term	name
ko00010	Glycolysis / Gluconeogenesis
ko00020	Citrate cycle (TCA cycle)
ko00030	Pentose phosphate pathway
ko00040	Pentose and glucuronate interconversions
ko00051	Fructose and mannose metabolism
ko00052	Galactose metabolism
ko00053	Ascorbate and aldarate metabolism
ko00500	Starch and sucrose metabolism
ko00520	Amino sugar and nucleotide sugar metabolism
ko00620	Pyruvate metabolism
ko00630	Glyoxylate and dicarboxylate metabolism
ko00640	Propanoate metabolism
ko00650	Butanoate metabolism
ko00660	C5-Branched dibasic acid metabolism
ko00562	Inositol phosphate metabolism
ko00190	Oxidative phosphorylation
ko00195	Photosynthesis
ko00196	Photosynthesis - antenna proteins
ko00710	Carbon fixation by Calvin cycle
ko00720	Other carbon fixation pathways
ko00680	Methane metabolism
ko00910	Nitrogen metabolism
ko00920	Sulfur metabolism
ko00061	Fatty acid biosynthesis
ko00062	Fatty acid elongation
ko00071	Fatty acid degradation
ko00073	Cutin, suberine and wax biosynthesis
ko00074	Mycolic acid biosynthesis
ko00100	Steroid biosynthesis
ko00120	Primary bile acid biosynthesis
ko00121	Secondary bile acid biosynthesis
ko00140	Steroid hormone biosynthesis
ko00561	Glycerolipid metabolism
ko00564	Glycerophospholipid metabolism
ko00565	Ether lipid metabolism
ko00600	Sphingolipid metabolism
ko00590	Arachidonic acid metabolism
ko00591	Linoleic acid metabolism
ko00592	alpha-Linolenic acid metabolism
ko01040	Biosynthesis of unsaturated fatty acids
ko00230	Purine metabolism
ko00240	Pyrimidine metabolism
ko00250	Alanine, aspartate and glutamate metabolism
ko00260	Glycine, serine and threonine metabolism
ko00270	Cysteine and methionine metabolism
ko00280	Valine, leucine and isoleucine degradation
ko00290	Valine, leucine and isoleucine biosynthesis
ko00300	Lysine biosynthesis
ko00310	Lysine degradation
ko00220	Arginine biosynthesis
ko00330	Arginine and proline metabolism
ko00340	Histidine metabolism
ko00350	Tyrosine metabolism
ko00360	Phenylalanine metabolism
ko00380	Tryptophan metabolism
ko00400	Phenylalanine, tyrosine and tryptophan biosynthesis
ko00410	beta-Alanine metabolism
