Name,Score
AP2/ERF-ERF,5
B3,1
C2C2-GATA,3
C2C2-YABBY,1
HB-other,2
MADS-M-type,1
MYB-related,1
NAC,1
OFP,1
SBP,1
SRS,1
TRINITY_DN10357_c2_g1,0
TRINITY_DN11196_c5_g1,0
TRINITY_DN11701_c0_g1,0
TRINITY_DN128224_c0_g1,0
TRINITY_DN14674_c0_g1,0
TRINITY_DN159_c0_g1,0
TRINITY_DN19652_c0_g1,0
TRINITY_DN20804_c0_g1,0
TRINITY_DN20865_c1_g1,0
TRINITY_DN217_c1_g1,0
TRINITY_DN228603_c0_g1,0
TRINITY_DN23547_c0_g1,0
TRINITY_DN2442_c0_g1,0
TRINITY_DN48112_c0_g1,0
TRINITY_DN621_c0_g2,0
TRINITY_DN764_c1_g1,0
TRINITY_DN8283_c0_g2,0
TRINITY_DN94727_c0_g1,0
