Top 29 in network redN.csv ranked by Degree method
Rank,Name,Score
1,AP2/ERF-ERF,5.0
2,C2C2-GATA,3.0
3,HB-other,2.0
4,NAC,1.0
4,TRINITY_DN23547_c0_g1,1.0
4,C2C2-YABBY,1.0
4,TRINITY_DN2442_c0_g1,1.0
4,TRINITY_DN10357_c2_g1,1.0
4,SBP,1.0
4,TRINITY_DN48112_c0_g1,1.0
4,TRINITY_DN11196_c5_g1,1.0
4,TRINITY_DN621_c0_g2,1.0
4,TRINITY_DN11701_c0_g1,1.0
4,OFP,1.0
4,TRINITY_DN764_c1_g1,1.0
4,TRINITY_DN128224_c0_g1,1.0
4,TRINITY_DN8283_c0_g2,1.0
4,B3,1.0
4,TRINITY_DN14674_c0_g1,1.0
4,MADS-M-type,1.0
4,TRINITY_DN94727_c0_g1,1.0
4,TRINITY_DN159_c0_g1,1.0
4,MYB-related,1.0
4,TRINITY_DN19652_c0_g1,1.0
4,SRS,1.0
4,TRINITY_DN20804_c0_g1,1.0
4,TRINITY_DN20865_c1_g1,1.0
4,TRINITY_DN217_c1_g1,1.0
4,TRINITY_DN228603_c0_g1,1.0
