node,attr
B3,TF
Tify,TF
C3H,TF
NAC,TF
HB-HD-ZIP,TF
HSF,TF
AP2/ERF-ERF,TF
C2C2-GATA,TF
MADS-MIKC,TF
WRKY,TF
GRAS,TF
RWP-RK,TF
GARP-G2-like,TF
FAR1,TF
MADS-M-type,TF
TCP,TF
BES1,TF
MYB,TF
bHLH,TF
CPP,TF
MYB-related,TF
BBR-BPC,TF
TRINITY_DN103767_c1_g1,Gene
TRINITY_DN10976_c0_g1,Gene
TRINITY_DN11163_c0_g1,Gene
TRINITY_DN112952_c0_g2,Gene
TRINITY_DN11397_c0_g1,Gene
TRINITY_DN1218_c0_g2,Gene
TRINITY_DN1262_c0_g2,Gene
TRINITY_DN13186_c0_g1,Gene
TRINITY_DN1364_c0_g2,Gene
TRINITY_DN13779_c0_g1,Gene
TRINITY_DN14415_c0_g1,Gene
TRINITY_DN148380_c0_g1,Gene
TRINITY_DN155261_c0_g1,Gene
TRINITY_DN162_c1_g2,Gene
TRINITY_DN17436_c0_g1,Gene
TRINITY_DN17742_c0_g1,Gene
TRINITY_DN195377_c0_g1,Gene
TRINITY_DN20734_c0_g1,Gene
TRINITY_DN20793_c0_g1,Gene
TRINITY_DN2168_c1_g1,Gene
TRINITY_DN217930_c1_g1,Gene
TRINITY_DN21895_c0_g1,Gene
TRINITY_DN232912_c0_g1,Gene
TRINITY_DN24199_c0_g2,Gene
TRINITY_DN27378_c0_g1,Gene
TRINITY_DN2928_c0_g1,Gene
TRINITY_DN29875_c1_g1,Gene
TRINITY_DN3128_c0_g2,Gene
TRINITY_DN3247_c0_g2,Gene
TRINITY_DN3285_c1_g1,Gene
TRINITY_DN36016_c0_g1,Gene
TRINITY_DN38315_c0_g1,Gene
TRINITY_DN4397_c0_g1,Gene
TRINITY_DN4403_c1_g1,Gene
TRINITY_DN44493_c0_g1,Gene
TRINITY_DN4452_c0_g1,Gene
TRINITY_DN4553_c0_g1,Gene
TRINITY_DN5120_c0_g1,Gene
TRINITY_DN54882_c0_g1,Gene
TRINITY_DN5604_c0_g1,Gene
TRINITY_DN5634_c0_g3,Gene
TRINITY_DN56430_c0_g1,Gene
TRINITY_DN60377_c0_g1,Gene
TRINITY_DN75152_c0_g2,Gene
TRINITY_DN9400_c2_g1,Gene
TRINITY_DN9472_c0_g2,Gene
TRINITY_DN99892_c0_g1,Gene
TRINITY_DN999_c1_g2,Gene
