Name,Score
AP2/ERF-ERF,9
B3,1
BBR-BPC,1
BES1,1
bHLH,4
C2C2-GATA,3
C3H,4
CPP,1
FAR1,1
GARP-G2-like,1
GRAS,2
HB-HD-ZIP,1
HSF,2
MADS-MIKC,1
MADS-M-type,1
MYB,1
MYB-related,1
NAC,2
RWP-RK,3
TCP,1
Tify,2
TRINITY_DN103767_c1_g1,0
TRINITY_DN10976_c0_g1,0
TRINITY_DN11163_c0_g1,0
TRINITY_DN112952_c0_g2,0
TRINITY_DN11397_c0_g1,0
TRINITY_DN1218_c0_g2,0
TRINITY_DN1262_c0_g2,0
TRINITY_DN13186_c0_g1,0
TRINITY_DN1364_c0_g2,0
TRINITY_DN13779_c0_g1,0
TRINITY_DN14415_c0_g1,0
TRINITY_DN148380_c0_g1,0
TRINITY_DN155261_c0_g1,0
TRINITY_DN162_c1_g2,0
TRINITY_DN17436_c0_g1,0
TRINITY_DN17742_c0_g1,0
TRINITY_DN195377_c0_g1,0
TRINITY_DN20734_c0_g1,0
TRINITY_DN20793_c0_g1,0
TRINITY_DN2168_c1_g1,0
TRINITY_DN217930_c1_g1,0
TRINITY_DN21895_c0_g1,0
TRINITY_DN232912_c0_g1,0
TRINITY_DN24199_c0_g2,0
TRINITY_DN27378_c0_g1,0
TRINITY_DN2928_c0_g1,0
TRINITY_DN29875_c1_g1,0
TRINITY_DN3128_c0_g2,0
TRINITY_DN3247_c0_g2,0
TRINITY_DN3285_c1_g1,0
TRINITY_DN36016_c0_g1,0
TRINITY_DN38315_c0_g1,0
TRINITY_DN4397_c0_g1,0
TRINITY_DN4403_c1_g1,0
TRINITY_DN44493_c0_g1,0
TRINITY_DN4452_c0_g1,0
TRINITY_DN4553_c0_g1,0
TRINITY_DN5120_c0_g1,0
TRINITY_DN54882_c0_g1,0
TRINITY_DN5604_c0_g1,0
TRINITY_DN5634_c0_g3,0
TRINITY_DN56430_c0_g1,0
TRINITY_DN60377_c0_g1,0
TRINITY_DN75152_c0_g2,0
TRINITY_DN9400_c2_g1,0
TRINITY_DN9472_c0_g2,0
TRINITY_DN99892_c0_g1,0
TRINITY_DN999_c1_g2,0
WRKY,5
