Top 70 in network brownN.csv ranked by Degree method
Rank,Name,Score
1,AP2/ERF-ERF,9.0
2,WRKY,5.0
3,C3H,4.0
3,bHLH,4.0
5,C2C2-GATA,3.0
5,RWP-RK,3.0
7,GRAS,2.0
7,Tify,2.0
7,NAC,2.0
7,HSF,2.0
11,TRINITY_DN13186_c0_g1,1.0
11,TRINITY_DN4403_c1_g1,1.0
11,TRINITY_DN44493_c0_g1,1.0
11,TRINITY_DN1364_c0_g2,1.0
11,TRINITY_DN4452_c0_g1,1.0
11,MADS-MIKC,1.0
11,TRINITY_DN13779_c0_g1,1.0
11,TRINITY_DN4553_c0_g1,1.0
11,TRINITY_DN5120_c0_g1,1.0
11,TRINITY_DN14415_c0_g1,1.0
11,TRINITY_DN54882_c0_g1,1.0
11,TRINITY_DN148380_c0_g1,1.0
11,TRINITY_DN5604_c0_g1,1.0
11,TRINITY_DN155261_c0_g1,1.0
11,TRINITY_DN5634_c0_g3,1.0
11,MYB-related,1.0
11,TRINITY_DN162_c1_g2,1.0
11,TRINITY_DN56430_c0_g1,1.0
11,GARP-G2-like,1.0
11,TRINITY_DN60377_c0_g1,1.0
11,TRINITY_DN17436_c0_g1,1.0
11,TRINITY_DN75152_c0_g2,1.0
11,TRINITY_DN17742_c0_g1,1.0
11,TRINITY_DN9400_c2_g1,1.0
11,TRINITY_DN195377_c0_g1,1.0
11,BBR-BPC,1.0
11,FAR1,1.0
11,TRINITY_DN9472_c0_g2,1.0
11,TRINITY_DN20734_c0_g1,1.0
11,TRINITY_DN99892_c0_g1,1.0
11,TRINITY_DN20793_c0_g1,1.0
11,TRINITY_DN999_c1_g2,1.0
11,MADS-M-type,1.0
11,TRINITY_DN2168_c1_g1,1.0
11,TRINITY_DN217930_c1_g1,1.0
11,TCP,1.0
11,TRINITY_DN21895_c0_g1,1.0
11,TRINITY_DN232912_c0_g1,1.0
11,BES1,1.0
11,TRINITY_DN24199_c0_g2,1.0
11,B3,1.0
11,MYB,1.0
11,TRINITY_DN103767_c1_g1,1.0
11,TRINITY_DN27378_c0_g1,1.0
11,TRINITY_DN2928_c0_g1,1.0
11,TRINITY_DN10976_c0_g1,1.0
11,TRINITY_DN29875_c1_g1,1.0
11,TRINITY_DN11163_c0_g1,1.0
11,TRINITY_DN3128_c0_g2,1.0
11,TRINITY_DN3247_c0_g2,1.0
11,TRINITY_DN112952_c0_g2,1.0
11,TRINITY_DN3285_c1_g1,1.0
11,HB-HD-ZIP,1.0
11,TRINITY_DN11397_c0_g1,1.0
11,TRINITY_DN36016_c0_g1,1.0
11,TRINITY_DN1218_c0_g2,1.0
11,CPP,1.0
11,TRINITY_DN38315_c0_g1,1.0
11,TRINITY_DN1262_c0_g2,1.0
11,TRINITY_DN4397_c0_g1,1.0
