node,attr
C2C2-GATA,TF
AP2/ERF-ERF,TF
B3,TF
HB-other,TF
MYB-related,TF
SRS,TF
NAC,TF
C2C2-YABBY,TF
SBP,TF
OFP,TF
MADS-M-type,TF
TRINITY_DN10357_c2_g1,Gene
TRINITY_DN11196_c5_g1,Gene
TRINITY_DN11701_c0_g1,Gene
TRINITY_DN128224_c0_g1,Gene
TRINITY_DN14674_c0_g1,Gene
TRINITY_DN159_c0_g1,Gene
TRINITY_DN19652_c0_g1,Gene
TRINITY_DN20804_c0_g1,Gene
TRINITY_DN20865_c1_g1,Gene
TRINITY_DN217_c1_g1,Gene
TRINITY_DN228603_c0_g1,Gene
TRINITY_DN23547_c0_g1,Gene
TRINITY_DN2442_c0_g1,Gene
TRINITY_DN48112_c0_g1,Gene
TRINITY_DN621_c0_g2,Gene
TRINITY_DN764_c1_g1,Gene
TRINITY_DN8283_c0_g2,Gene
TRINITY_DN94727_c0_g1,Gene
