Rank,Name,Score
1,AP2/ERF-ERF,14
2,WRKY,10
3,MYB,7
4,NAC,6
5,MADS-M-type,4
5,MADS-MIKC,4
5,MYB-related,4
8,C2H2,3
8,HB-HD-ZIP,3
8,HSF,3
11,HB-BELL,2
11,LOB,2
11,TRINITY_DN66220_c0_g1,2
11,TRINITY_DN6729_c0_g1,2
11,GRAS,2
11,HB-KNOX,2
11,TRINITY_DN1330_c1_g1,2
11,Tify,2
11,bHLH,2
11,TRINITY_DN17719_c0_g1,2
11,C2C2-CO-like,2
22,TRINITY_DN587_c2_g1,1
22,TRINITY_DN17995_c0_g1,1
22,TRINITY_DN6142_c0_g1,1
22,TRINITY_DN18047_c0_g1,1
22,TRINITY_DN6243_c0_g1,1
22,TRINITY_DN180651_c0_g1,1
22,TRINITY_DN6300_c0_g2,1
22,C2C2-Dof,1
22,TRINITY_DN184_c1_g1,1
22,TRINITY_DN10735_c0_g1,1
22,HB-other,1
22,TRINITY_DN6489_c1_g1,1
22,TRINITY_DN18500_c0_g1,1
22,TRINITY_DN10836_c0_g1,1
22,TRINITY_DN19687_c0_g1,1
22,TRINITY_DN10856_c0_g1,1
22,TRINITY_DN6663_c0_g1,1
22,TRINITY_DN1_c7_g1,1
22,TRINITY_DN21012_c0_g1,1
22,TRINITY_DN10862_c0_g2,1
22,TRINITY_DN26041_c0_g1,1
22,TRINITY_DN6755_c0_g1,1
22,TRINITY_DN1114_c2_g1,1
22,C3H,1
22,TRINITY_DN7027_c0_g1,1
22,TRINITY_DN281_c0_g1,1
22,TRINITY_DN11340_c0_g1,1
22,TRINITY_DN71705_c2_g1,1
22,TRINITY_DN2993_c3_g2,1
22,TRINITY_DN116768_c0_g1,1
22,TRINITY_DN71854_c0_g1,1
22,TRINITY_DN31095_c0_g1,1
22,TRINITY_DN7408_c0_g1,1
22,TRINITY_DN31941_c0_g1,1
22,TRINITY_DN11752_c0_g1,1
22,TRINITY_DN79173_c0_g1,1
22,TRINITY_DN3247_c0_g1,1
22,TRINITY_DN11819_c0_g1,1
22,TRINITY_DN7936_c0_g1,1
22,TRINITY_DN35471_c0_g1,1
22,GARP-G2-like,1
22,TRINITY_DN3554_c2_g3,1
22,TRINITY_DN12152_c0_g1,1
22,TRINITY_DN8114_c0_g1,1
22,TRINITY_DN3586_c0_g2,1
22,TRINITY_DN12398_c0_g1,1
22,TRINITY_DN8244_c0_g1,1
22,TRINITY_DN36963_c0_g1,1
22,TCP,1
22,TRINITY_DN83_c0_g2,1
22,TRINITY_DN1275_c0_g4,1
22,TRINITY_DN373_c0_g2,1
22,TRINITY_DN8469_c0_g1,1
22,TRINITY_DN4014_c0_g1,1
22,TRINITY_DN850_c0_g1,1
22,TRINITY_DN41561_c0_g1,1
22,TRINITY_DN86510_c1_g1,1
22,TRINITY_DN13442_c0_g1,1
22,TRINITY_DN417_c0_g1,1
22,TRINITY_DN9177_c0_g1,1
22,TRINITY_DN137741_c0_g1,1
22,TRINITY_DN42937_c0_g1,1
22,TRINITY_DN945_c0_g1,1
22,TRINITY_DN43768_c0_g1,1
22,TRINITY_DN16905_c0_g1,1
22,TRINITY_DN4934_c0_g1,1
22,TRINITY_DN17119_c0_g1,1
22,TRINITY_DN4935_c0_g1,1
22,TRINITY_DN17396_c0_g1,1
22,TRINITY_DN5026_c0_g1,1
22,TRINITY_DN17659_c0_g2,1
22,TRINITY_DN5294_c0_g1,1
22,TRINITY_DN5410_c0_g1,1
22,TRINITY_DN5462_c2_g1,1
