gene	module
TRINITY_DN6950_c0_g1	turquoise
TRINITY_DN7581_c7_g1	turquoise
TRINITY_DN41480_c2_g2	turquoise
TRINITY_DN17974_c1_g1	turquoise
TRINITY_DN1171_c2_g1	yellow
TRINITY_DN17038_c0_g1	turquoise
TRINITY_DN15744_c0_g1	turquoise
TRINITY_DN1175_c0_g2	turquoise
TRINITY_DN94383_c1_g1	turquoise
TRINITY_DN5434_c2_g1	blue
TRINITY_DN3993_c4_g1	blue
TRINITY_DN34026_c1_g1	turquoise
TRINITY_DN29639_c3_g2	turquoise
TRINITY_DN168984_c0_g1	turquoise
TRINITY_DN94844_c2_g1	turquoise
TRINITY_DN1174_c2_g2	blue
TRINITY_DN169880_c0_g1	turquoise
TRINITY_DN79548_c2_g2	turquoise
TRINITY_DN19087_c0_g1	blue
TRINITY_DN1083_c9_g1	turquoise
TRINITY_DN127935_c2_g1	blue
TRINITY_DN211834_c1_g1	turquoise
TRINITY_DN17733_c0_g2	blue
TRINITY_DN13505_c2_g1	blue
TRINITY_DN58894_c1_g1	turquoise
TRINITY_DN331_c0_g2	blue
TRINITY_DN62103_c0_g1	blue
TRINITY_DN6821_c0_g1	blue
TRINITY_DN133378_c1_g1	blue
TRINITY_DN2120_c14_g1	blue
TRINITY_DN48957_c0_g1	turquoise
TRINITY_DN3601_c0_g1	turquoise
TRINITY_DN3248_c1_g1	turquoise
TRINITY_DN65_c0_g1	blue
TRINITY_DN153562_c3_g1	blue
TRINITY_DN689_c2_g1	turquoise
TRINITY_DN16753_c0_g2	turquoise
TRINITY_DN252731_c0_g1	turquoise
TRINITY_DN4314_c0_g1	blue
TRINITY_DN5616_c4_g1	yellow
TRINITY_DN4923_c2_g2	turquoise
TRINITY_DN44063_c0_g1	turquoise
TRINITY_DN417_c0_g1	yellow
TRINITY_DN64465_c2_g1	blue
TRINITY_DN1709_c0_g1	turquoise
TRINITY_DN152815_c2_g1	turquoise
TRINITY_DN2078_c0_g2	blue
TRINITY_DN50361_c1_g1	turquoise
TRINITY_DN124732_c0_g1	turquoise
TRINITY_DN8147_c0_g1	turquoise
TRINITY_DN421_c1_g1	blue
TRINITY_DN3984_c0_g1	turquoise
TRINITY_DN91627_c0_g2	turquoise
TRINITY_DN3957_c1_g1	turquoise
TRINITY_DN8830_c0_g1	turquoise
TRINITY_DN6982_c2_g1	grey
TRINITY_DN1102_c0_g1	turquoise
TRINITY_DN3326_c8_g1	blue
TRINITY_DN4619_c1_g1	turquoise
TRINITY_DN1587_c3_g1	blue
TRINITY_DN97092_c0_g1	blue
TRINITY_DN203344_c0_g1	turquoise
TRINITY_DN186081_c0_g2	turquoise
TRINITY_DN45539_c0_g1	turquoise
TRINITY_DN169589_c1_g1	blue
TRINITY_DN69949_c1_g1	blue
TRINITY_DN171014_c0_g1	turquoise
TRINITY_DN130093_c0_g2	blue
TRINITY_DN13353_c2_g1	turquoise
TRINITY_DN149841_c0_g1	grey
