term	gene
GO:0000014	TRINITY_DN2384_c1_g1
GO:0000026	TRINITY_DN10265_c1_g1
GO:0000030	TRINITY_DN11723_c0_g1
GO:0000030	TRINITY_DN45836_c0_g1
GO:0000030	TRINITY_DN6733_c0_g1
GO:0000030	TRINITY_DN7031_c3_g1
GO:0000030	TRINITY_DN10265_c1_g1
GO:0000030	TRINITY_DN55998_c0_g1
GO:0000030	TRINITY_DN50563_c0_g1
GO:0000030	TRINITY_DN5876_c1_g3
GO:0000033	TRINITY_DN6733_c0_g1
GO:0000035	TRINITY_DN4070_c0_g1
GO:0000035	TRINITY_DN14478_c0_g2
GO:0000035	TRINITY_DN14478_c0_g1
GO:0000036	TRINITY_DN4070_c0_g1
GO:0000036	TRINITY_DN15690_c0_g2
GO:0000036	TRINITY_DN12783_c0_g1
GO:0000049	TRINITY_DN1135_c0_g1
GO:0000049	TRINITY_DN58752_c0_g2
GO:0000049	TRINITY_DN7561_c1_g1
GO:0000049	TRINITY_DN25717_c0_g1
GO:0000049	TRINITY_DN2836_c0_g1
GO:0000049	TRINITY_DN6932_c1_g1
GO:0000049	TRINITY_DN20385_c0_g3
GO:0000049	TRINITY_DN4098_c1_g1
GO:0000049	TRINITY_DN236_c1_g1
GO:0000049	TRINITY_DN236_c4_g1
GO:0000049	TRINITY_DN36517_c0_g1
GO:0000049	TRINITY_DN4170_c0_g2
GO:0000049	TRINITY_DN444_c0_g1
GO:0000049	TRINITY_DN150169_c0_g1
GO:0000049	TRINITY_DN2264_c0_g1
GO:0000062	TRINITY_DN4597_c0_g2
GO:0000062	TRINITY_DN3190_c0_g1
GO:0000095	TRINITY_DN12777_c0_g1
GO:0000095	TRINITY_DN53951_c0_g1
GO:0000095	TRINITY_DN661_c0_g2
GO:0000099	TRINITY_DN13952_c0_g1
GO:0000104	TRINITY_DN15529_c0_g1
GO:0000146	TRINITY_DN11847_c0_g1
GO:0000146	TRINITY_DN3737_c0_g1
GO:0000146	TRINITY_DN18208_c0_g1
GO:0000146	TRINITY_DN6297_c0_g2
GO:0000146	TRINITY_DN8014_c1_g1
GO:0000146	TRINITY_DN2611_c0_g1
GO:0000146	TRINITY_DN2404_c0_g1
GO:0000146	TRINITY_DN1555_c4_g1
GO:0000146	TRINITY_DN105_c3_g1
GO:0000146	TRINITY_DN2097_c4_g1
GO:0000146	TRINITY_DN46567_c0_g1
GO:0000146	TRINITY_DN3209_c0_g1
GO:0000146	TRINITY_DN117312_c0_g1
GO:0000149	TRINITY_DN1574_c1_g2
GO:0000149	TRINITY_DN70028_c1_g1
GO:0000149	TRINITY_DN160700_c1_g1
GO:0000149	TRINITY_DN21668_c0_g1
GO:0000149	TRINITY_DN34857_c0_g1
GO:0000149	TRINITY_DN1_c15_g1
GO:0000149	TRINITY_DN12404_c0_g2
GO:0000149	TRINITY_DN2803_c0_g1
GO:0000149	TRINITY_DN3397_c1_g1
GO:0000149	TRINITY_DN19155_c0_g1
GO:0000149	TRINITY_DN4318_c1_g1
GO:0000149	TRINITY_DN70848_c0_g1
GO:0000149	TRINITY_DN54325_c1_g1
GO:0000149	TRINITY_DN160700_c0_g1
GO:0000149	TRINITY_DN51423_c0_g1
GO:0000149	TRINITY_DN126597_c0_g1
GO:0000149	TRINITY_DN2384_c3_g1
GO:0000149	TRINITY_DN17000_c0_g1
GO:0000149	TRINITY_DN75847_c0_g1
GO:0000149	TRINITY_DN2143_c1_g1
GO:0000149	TRINITY_DN14263_c0_g1
GO:0000149	TRINITY_DN5577_c0_g1
GO:0000149	TRINITY_DN72774_c0_g1
GO:0000149	TRINITY_DN571_c0_g1
GO:0000149	TRINITY_DN22943_c0_g1
GO:0000149	TRINITY_DN2165_c3_g1
GO:0000149	TRINITY_DN6884_c0_g1
GO:0000149	TRINITY_DN2383_c4_g1
GO:0000149	TRINITY_DN2165_c0_g2
GO:0000150	TRINITY_DN22159_c0_g3
GO:0000150	TRINITY_DN14327_c0_g1
GO:0000150	TRINITY_DN22159_c0_g2
GO:0000150	TRINITY_DN16190_c0_g1
GO:0000150	TRINITY_DN3383_c0_g1
GO:0000150	TRINITY_DN42329_c0_g1
GO:0000150	TRINITY_DN22159_c0_g1
GO:0000150	TRINITY_DN68704_c0_g1
GO:0000150	TRINITY_DN163614_c0_g2
GO:0000156	TRINITY_DN12877_c1_g1
GO:0000156	TRINITY_DN503_c0_g1
GO:0000156	TRINITY_DN8114_c0_g1
GO:0000156	TRINITY_DN21513_c0_g1
GO:0000156	TRINITY_DN10858_c0_g2
GO:0000156	TRINITY_DN8114_c0_g2
GO:0000166	TRINITY_DN2611_c0_g1
GO:0000166	TRINITY_DN34790_c0_g1
GO:0000166	TRINITY_DN15940_c0_g1
GO:0000166	TRINITY_DN3737_c0_g1
GO:0000166	TRINITY_DN2126_c0_g1
GO:0000166	TRINITY_DN8348_c0_g1
GO:0000166	TRINITY_DN6480_c0_g1
GO:0000166	TRINITY_DN531_c0_g1
GO:0000166	TRINITY_DN27637_c1_g1
GO:0000166	TRINITY_DN51407_c0_g1
GO:0000166	TRINITY_DN6793_c0_g1
GO:0000166	TRINITY_DN6297_c0_g2
GO:0000166	TRINITY_DN12758_c0_g1
GO:0000166	TRINITY_DN7490_c0_g1
GO:0000166	TRINITY_DN225793_c0_g1
GO:0000166	TRINITY_DN3190_c0_g1
GO:0000166	TRINITY_DN145421_c0_g1
GO:0000166	TRINITY_DN7470_c1_g1
GO:0000166	TRINITY_DN8491_c1_g1
GO:0000166	TRINITY_DN6557_c0_g1
GO:0000166	TRINITY_DN94039_c0_g1
GO:0000166	TRINITY_DN11730_c0_g1
GO:0000166	TRINITY_DN61648_c0_g2
GO:0000166	TRINITY_DN55909_c0_g1
GO:0000166	TRINITY_DN18756_c0_g1
GO:0000166	TRINITY_DN150169_c0_g1
GO:0000166	TRINITY_DN18208_c0_g1
GO:0000166	TRINITY_DN117312_c0_g1
GO:0000166	TRINITY_DN1317_c2_g1
GO:0000166	TRINITY_DN1335_c1_g1
GO:0000166	TRINITY_DN23360_c0_g1
GO:0000166	TRINITY_DN3273_c4_g1
GO:0000166	TRINITY_DN7526_c0_g1
GO:0000166	TRINITY_DN125608_c0_g1
GO:0000166	TRINITY_DN3137_c0_g1
GO:0000166	TRINITY_DN3992_c0_g1
GO:0000166	TRINITY_DN8348_c0_g3
GO:0000166	TRINITY_DN17610_c0_g1
GO:0000166	TRINITY_DN91559_c0_g1
GO:0000166	TRINITY_DN8101_c0_g1
GO:0000166	TRINITY_DN8704_c0_g1
GO:0000166	TRINITY_DN6631_c0_g1
GO:0000166	TRINITY_DN17246_c0_g1
GO:0000166	TRINITY_DN12388_c9_g1
GO:0000166	TRINITY_DN105_c3_g1
GO:0000166	TRINITY_DN88192_c0_g2
GO:0000166	TRINITY_DN1098_c1_g1
GO:0000166	TRINITY_DN8945_c0_g1
GO:0000166	TRINITY_DN61030_c0_g1
GO:0000166	TRINITY_DN1235_c1_g1
GO:0000166	TRINITY_DN226296_c1_g1
GO:0000166	TRINITY_DN6014_c0_g1
GO:0000166	TRINITY_DN10924_c0_g1
GO:0000166	TRINITY_DN97006_c0_g1
GO:0000166	TRINITY_DN7628_c3_g1
GO:0000166	TRINITY_DN14106_c0_g1
GO:0000166	TRINITY_DN123175_c0_g1
GO:0000166	TRINITY_DN6517_c0_g1
GO:0000166	TRINITY_DN137298_c0_g2
