term	gene
ko01009	TRINITY_DN145681_c0_g3
ko03400	TRINITY_DN145681_c0_g3
ko00430	TRINITY_DN145618_c0_g1
ko00460	TRINITY_DN145618_c0_g1
ko00480	TRINITY_DN145618_c0_g1
ko01002	TRINITY_DN145618_c0_g1
ko00590	TRINITY_DN145618_c0_g1
ko00430	TRINITY_DN145618_c0_g1
ko00460	TRINITY_DN145618_c0_g1
ko00480	TRINITY_DN145618_c0_g1
ko01002	TRINITY_DN145618_c0_g1
ko04090	TRINITY_DN145618_c0_g1
ko03460	TRINITY_DN111130_c0_g1
ko03400	TRINITY_DN111130_c0_g1
ko04014	TRINITY_DN111130_c0_g1
ko00500	TRINITY_DN174159_c0_g1
ko03029	TRINITY_DN174109_c1_g1
ko03000	TRINITY_DN141464_c0_g1
ko03000	TRINITY_DN141464_c0_g1
ko04014	TRINITY_DN141504_c0_g1
ko04550	TRINITY_DN141467_c0_g1
ko03032	TRINITY_DN141467_c0_g1
ko01002	TRINITY_DN167710_c0_g1
ko04080	TRINITY_DN167630_c0_g1
ko04147	TRINITY_DN167630_c0_g1
ko03040	TRINITY_DN169062_c0_g1
ko03041	TRINITY_DN169062_c0_g1
ko00010	TRINITY_DN106865_c2_g1
ko00052	TRINITY_DN106865_c2_g1
ko04010	TRINITY_DN120442_c0_g3
ko04064	TRINITY_DN120442_c0_g3
ko04620	TRINITY_DN120442_c0_g3
ko04624	TRINITY_DN120442_c0_g3
ko04722	TRINITY_DN120442_c0_g3
ko01001	TRINITY_DN120442_c0_g3
ko00061	TRINITY_DN120427_c0_g1
ko00780	TRINITY_DN120427_c0_g1
ko00333	TRINITY_DN120427_c0_g1
ko01004	TRINITY_DN120427_c0_g1
ko00061	TRINITY_DN120427_c0_g1
ko00780	TRINITY_DN120427_c0_g1
ko00333	TRINITY_DN120427_c0_g1
ko01004	TRINITY_DN120427_c0_g1
ko00510	TRINITY_DN120397_c0_g1
ko00513	TRINITY_DN120397_c0_g1
ko04141	TRINITY_DN120397_c0_g1
ko04814	TRINITY_DN124058_c0_g1
ko01009	TRINITY_DN124058_c0_g1
ko03036	TRINITY_DN124058_c0_g1
ko00140	TRINITY_DN124056_c0_g1
ko00380	TRINITY_DN124056_c0_g1
ko00830	TRINITY_DN124056_c0_g1
ko00980	TRINITY_DN124056_c0_g1
ko04913	TRINITY_DN124056_c0_g1
ko00199	TRINITY_DN124056_c0_g1
ko03040	TRINITY_DN172619_c0_g1
ko03041	TRINITY_DN172619_c0_g1
ko00860	TRINITY_DN199410_c0_g3
ko03029	TRINITY_DN199410_c0_g3
ko04010	TRINITY_DN118840_c0_g1
ko04064	TRINITY_DN118840_c0_g1
ko04620	TRINITY_DN118840_c0_g1
ko04624	TRINITY_DN118840_c0_g1
ko04621	TRINITY_DN118840_c0_g1
ko04722	TRINITY_DN118840_c0_g1
ko01001	TRINITY_DN118840_c0_g1
ko04010	TRINITY_DN118840_c0_g2
ko04064	TRINITY_DN118840_c0_g2
ko04620	TRINITY_DN118840_c0_g2
ko04624	TRINITY_DN118840_c0_g2
ko04621	TRINITY_DN118840_c0_g2
ko04722	TRINITY_DN118840_c0_g2
ko01001	TRINITY_DN118840_c0_g2
ko00902	TRINITY_DN154208_c0_g1
ko00902	TRINITY_DN154208_c0_g1
ko00900	TRINITY_DN154208_c0_g1
ko00902	TRINITY_DN154208_c0_g1
ko00902	TRINITY_DN154208_c0_g1
ko00902	TRINITY_DN154208_c0_g1
ko04071	TRINITY_DN177810_c0_g1
ko04142	TRINITY_DN177810_c0_g1
ko04140	TRINITY_DN177810_c0_g1
ko04210	TRINITY_DN177810_c0_g1
ko04915	TRINITY_DN177810_c0_g1
ko01002	TRINITY_DN177810_c0_g1
ko04147	TRINITY_DN177810_c0_g1
ko03022	TRINITY_DN138531_c0_g1
ko03021	TRINITY_DN138531_c0_g1
ko03036	TRINITY_DN138531_c0_g1
ko04010	TRINITY_DN138609_c0_g1
ko04064	TRINITY_DN138609_c0_g1
ko04620	TRINITY_DN138609_c0_g1
ko04624	TRINITY_DN138609_c0_g1
ko04621	TRINITY_DN138609_c0_g1
ko04722	TRINITY_DN138609_c0_g1
ko01001	TRINITY_DN138609_c0_g1
ko01002	TRINITY_DN166236_c0_g1
ko00537	TRINITY_DN166236_c0_g1
ko02000	TRINITY_DN166282_c0_g1
ko04814	TRINITY_DN117312_c0_g1
ko03019	TRINITY_DN117312_c0_g1
ko04131	TRINITY_DN117312_c0_g1
ko03029	TRINITY_DN117312_c0_g1
ko04812	TRINITY_DN117312_c0_g1
ko00600	TRINITY_DN135714_c0_g1
ko04370	TRINITY_DN135714_c0_g1
ko04371	TRINITY_DN135714_c0_g1
ko04020	TRINITY_DN135714_c0_g1
ko04072	TRINITY_DN135714_c0_g1
ko04071	TRINITY_DN135714_c0_g1
ko04148	TRINITY_DN135714_c0_g1
ko04666	TRINITY_DN135714_c0_g1
ko03082	TRINITY_DN111319_c0_g1
ko04217	TRINITY_DN111319_c0_g1
ko04613	TRINITY_DN111319_c0_g1
ko03036	TRINITY_DN111319_c0_g1
ko04147	TRINITY_DN111319_c0_g1
ko04014	TRINITY_DN103445_c0_g1
ko03015	TRINITY_DN144085_c0_g1
ko04530	TRINITY_DN144085_c0_g1
ko03021	TRINITY_DN144085_c0_g1
ko03019	TRINITY_DN144085_c0_g1
ko04120	TRINITY_DN164914_c0_g1
ko04140	TRINITY_DN164914_c0_g1
ko04137	TRINITY_DN164914_c0_g1
ko03320	TRINITY_DN164914_c0_g1
ko04121	TRINITY_DN164914_c0_g1
ko04120	TRINITY_DN164914_c0_g1
ko04140	TRINITY_DN164914_c0_g1
ko04137	TRINITY_DN164914_c0_g1
ko03320	TRINITY_DN164914_c0_g1
ko04121	TRINITY_DN164914_c0_g1
ko03010	TRINITY_DN164915_c0_g1
ko03011	TRINITY_DN164915_c0_g1
ko00630	TRINITY_DN140476_c0_g1
ko01009	TRINITY_DN140476_c0_g1
ko03460	TRINITY_DN121072_c0_g1
ko03400	TRINITY_DN121072_c0_g1
ko04014	TRINITY_DN121072_c0_g1
ko04010	TRINITY_DN107740_c0_g1
ko04064	TRINITY_DN107740_c0_g1
ko04620	TRINITY_DN107740_c0_g1
ko04624	TRINITY_DN107740_c0_g1
ko04722	TRINITY_DN107740_c0_g1
ko01001	TRINITY_DN107740_c0_g1
ko00510	TRINITY_DN134548_c0_g1
ko01003	TRINITY_DN134548_c0_g1
ko00970	TRINITY_DN125661_c0_g1
ko01007	TRINITY_DN125661_c0_g1
ko03016	TRINITY_DN125661_c0_g1
ko04015	TRINITY_DN125608_c0_g1
ko04371	TRINITY_DN125608_c0_g1
ko04071	TRINITY_DN125608_c0_g1
ko04024	TRINITY_DN125608_c0_g1
ko04022	TRINITY_DN125608_c0_g1
ko04113	TRINITY_DN125608_c0_g1
ko04540	TRINITY_DN125608_c0_g1
ko04611	TRINITY_DN125608_c0_g1
ko04670	TRINITY_DN125608_c0_g1
ko04062	TRINITY_DN125608_c0_g1
ko04923	TRINITY_DN125608_c0_g1
ko04915	TRINITY_DN125608_c0_g1
ko04914	TRINITY_DN125608_c0_g1
ko04921	TRINITY_DN125608_c0_g1
ko04926	TRINITY_DN125608_c0_g1
ko04935	TRINITY_DN125608_c0_g1
ko04928	TRINITY_DN125608_c0_g1
ko04916	TRINITY_DN125608_c0_g1
ko04924	TRINITY_DN125608_c0_g1
ko04261	TRINITY_DN125608_c0_g1
ko04971	TRINITY_DN125608_c0_g1
ko04724	TRINITY_DN125608_c0_g1
ko04727	TRINITY_DN125608_c0_g1
ko04725	TRINITY_DN125608_c0_g1
ko04728	TRINITY_DN125608_c0_g1
ko04726	TRINITY_DN125608_c0_g1
ko04730	TRINITY_DN125608_c0_g1
ko04723	TRINITY_DN125608_c0_g1
ko04360	TRINITY_DN125608_c0_g1
ko04713	TRINITY_DN125608_c0_g1
ko04147	TRINITY_DN125608_c0_g1
ko04031	TRINITY_DN125608_c0_g1
ko01009	TRINITY_DN125608_c0_g1
ko03022	TRINITY_DN151990_c0_g1
ko03021	TRINITY_DN151990_c0_g1
ko00500	TRINITY_DN153952_c0_g1
ko00520	TRINITY_DN153952_c0_g1
ko02026	TRINITY_DN153952_c0_g1
ko03022	TRINITY_DN113070_c1_g2
ko03021	TRINITY_DN113070_c1_g2
ko03013	TRINITY_DN196314_c0_g1
ko03009	TRINITY_DN196314_c0_g1
ko00040	TRINITY_DN112035_c0_g2
ko02020	TRINITY_DN112035_c0_g2
ko03009	TRINITY_DN112046_c0_g1
ko03018	TRINITY_DN127339_c3_g1
ko03019	TRINITY_DN127339_c3_g1
ko03041	TRINITY_DN127339_c3_g1
ko03009	TRINITY_DN127339_c3_g1
ko03016	TRINITY_DN127339_c3_g1
ko02000	TRINITY_DN113308_c0_g1
ko02000	TRINITY_DN113308_c0_g1
ko00900	TRINITY_DN123448_c0_g1
ko01006	TRINITY_DN123448_c0_g1
ko00630	TRINITY_DN123474_c1_g1
ko00680	TRINITY_DN123474_c1_g1
ko03016	TRINITY_DN123449_c0_g1
ko03010	TRINITY_DN176723_c0_g1
ko03011	TRINITY_DN176723_c0_g1
ko03000	TRINITY_DN103703_c0_g1
ko04145	TRINITY_DN130273_c0_g1
ko04540	TRINITY_DN130273_c0_g1
ko04814	TRINITY_DN130273_c0_g1
ko03036	TRINITY_DN130273_c0_g1
ko04812	TRINITY_DN130273_c0_g1
ko04147	TRINITY_DN130273_c0_g1
ko02044	TRINITY_DN130336_c0_g1
ko03460	TRINITY_DN130269_c0_g2
ko04150	TRINITY_DN130269_c0_g2
ko03032	TRINITY_DN130269_c0_g2
ko03036	TRINITY_DN130269_c0_g2
ko03400	TRINITY_DN130269_c0_g2
ko03082	TRINITY_DN141744_c0_g1
ko03036	TRINITY_DN141744_c0_g1
ko03037	TRINITY_DN141744_c0_g1
ko00730	TRINITY_DN141791_c0_g1
ko03009	TRINITY_DN141791_c0_g1
ko00730	TRINITY_DN141791_c0_g1
ko03009	TRINITY_DN141791_c0_g1
ko03010	TRINITY_DN159040_c0_g1
ko03011	TRINITY_DN159040_c0_g1
