Top 108 in network turquoiseN.csv ranked by Degree method
Rank,Name,Score
1,C3H,8.0
2,WRKY,7.0
2,RWP-RK,7.0
4,B3,6.0
4,C2H2,6.0
6,AP2/ERF-ERF,5.0
7,SBP,4.0
8,bZIP,3.0
8,MADS-MIKC,3.0
8,PLATZ,3.0
11,bHLH,2.0
11,CPP,2.0
11,MYB-related,2.0
11,GRAS,2.0
11,GARP-G2-like,2.0
11,NAC,2.0
17,TRINITY_DN22875_c1_g1,1.0
17,TRINITY_DN228893_c0_g1,1.0
17,TRINITY_DN2476_c0_g1,1.0
17,TRINITY_DN2488_c0_g2,1.0
17,HSF,1.0
17,TRINITY_DN2502_c0_g1,1.0
17,FAR1,1.0
17,TRINITY_DN253_c2_g1,1.0
17,TRINITY_DN2566_c0_g1,1.0
17,TRINITY_DN26085_c0_g1,1.0
17,TRINITY_DN26528_c0_g1,1.0
17,TRINITY_DN29545_c0_g1,1.0
17,BES1,1.0
17,TRINITY_DN29555_c0_g1,1.0
17,TRINITY_DN29888_c0_g1,1.0
17,CSD,1.0
17,TRINITY_DN30599_c0_g1,1.0
17,TRINITY_DN31224_c0_g1,1.0
17,TRINITY_DN3128_c0_g1,1.0
17,TRINITY_DN31961_c1_g2,1.0
17,TRINITY_DN3376_c0_g1,1.0
17,TRINITY_DN3419_c2_g1,1.0
17,TRINITY_DN3568_c11_g1,1.0
17,TRINITY_DN36315_c0_g1,1.0
17,NF-YC,1.0
17,TRINITY_DN36755_c1_g1,1.0
17,TRINITY_DN37614_c0_g1,1.0
17,TRINITY_DN38607_c0_g1,1.0
17,TRINITY_DN41532_c0_g2,1.0
17,TRINITY_DN4176_c3_g1,1.0
17,TRINITY_DN4205_c3_g1,1.0
17,TRINITY_DN44033_c0_g1,1.0
17,TRINITY_DN47595_c3_g1,1.0
17,Tify,1.0
17,TRINITY_DN48431_c0_g1,1.0
17,TRINITY_DN49004_c0_g1,1.0
17,C2C2-GATA,1.0
17,TRINITY_DN102612_c0_g1,1.0
17,TRINITY_DN4941_c0_g1,1.0
17,TRINITY_DN51605_c0_g1,1.0
17,TRINITY_DN109668_c0_g1,1.0
17,TRINITY_DN5308_c0_g1,1.0
17,zf-HD,1.0
17,TRINITY_DN11584_c0_g1,1.0
17,TRINITY_DN5463_c0_g1,1.0
17,TRINITY_DN55827_c0_g1,1.0
17,TRINITY_DN116902_c0_g1,1.0
17,TUB,1.0
17,TRINITY_DN56837_c2_g1,1.0
17,TRINITY_DN11733_c0_g1,1.0
17,TRINITY_DN6123_c0_g2,1.0
17,TRINITY_DN121287_c0_g1,1.0
17,TRINITY_DN61663_c0_g1,1.0
17,NF-YB,1.0
17,TRINITY_DN6244_c2_g1,1.0
17,TRINITY_DN123943_c1_g1,1.0
17,TRINITY_DN6331_c0_g3,1.0
17,TRINITY_DN124130_c0_g1,1.0
17,TRINITY_DN64839_c0_g1,1.0
17,TRINITY_DN124706_c0_g1,1.0
17,TRINITY_DN65759_c1_g1,1.0
17,TRINITY_DN146190_c0_g2,1.0
17,TRINITY_DN65811_c0_g1,1.0
17,TRINITY_DN687_c0_g4,1.0
17,TRINITY_DN146_c0_g2,1.0
17,TRINITY_DN69839_c0_g1,1.0
17,TRINITY_DN147835_c0_g1,1.0
17,TRINITY_DN72618_c0_g1,1.0
17,TRINITY_DN150502_c0_g1,1.0
17,TRINITY_DN75305_c1_g1,1.0
17,TRINITY_DN1513_c8_g1,1.0
17,TRINITY_DN7618_c0_g1,1.0
17,TRINITY_DN15694_c1_g1,1.0
17,HB-other,1.0
17,TRINITY_DN8283_c0_g3,1.0
17,MYB,1.0
17,TRINITY_DN16556_c0_g1,1.0
17,TRINITY_DN83_c0_g3,1.0
17,TRINITY_DN17550_c0_g1,1.0
17,C2C2-Dof,1.0
17,TRINITY_DN84065_c1_g1,1.0
17,OFP,1.0
17,TRINITY_DN18353_c0_g1,1.0
17,TRINITY_DN8752_c0_g1,1.0
17,TRINITY_DN19191_c0_g2,1.0
17,TRINITY_DN8830_c0_g1,1.0
17,TRINITY_DN96374_c0_g1,1.0
17,TRINITY_DN19331_c0_g1,1.0
17,TRINITY_DN98235_c2_g1,1.0
17,TRINITY_DN1997_c1_g1,1.0
17,TRINITY_DN9900_c0_g1,1.0
17,TRINITY_DN218733_c0_g1,1.0
