V2,Gene
C2C2-GATA,TRINITY_DN10357_c2_g1
AP2/ERF-ERF,TRINITY_DN11196_c5_g1
AP2/ERF-ERF,TRINITY_DN11701_c0_g1
C2C2-GATA,TRINITY_DN128224_c0_g1
B3,TRINITY_DN14674_c0_g1
HB-other,TRINITY_DN159_c0_g1
MYB-related,TRINITY_DN19652_c0_g1
SRS,TRINITY_DN20804_c0_g1
AP2/ERF-ERF,TRINITY_DN20865_c1_g1
C2C2-GATA,TRINITY_DN217_c1_g1
AP2/ERF-ERF,TRINITY_DN228603_c0_g1
NAC,TRINITY_DN23547_c0_g1
C2C2-YABBY,TRINITY_DN2442_c0_g1
SBP,TRINITY_DN48112_c0_g1
AP2/ERF-ERF,TRINITY_DN621_c0_g2
OFP,TRINITY_DN764_c1_g1
HB-other,TRINITY_DN8283_c0_g2
MADS-M-type,TRINITY_DN94727_c0_g1
