term	gene
GO:0000109	TRINITY_DN2384_c1_g1
GO:0000110	TRINITY_DN2384_c1_g1
GO:0000118	TRINITY_DN955_c2_g1
GO:0000118	TRINITY_DN9634_c0_g1
GO:0000118	TRINITY_DN66921_c0_g1
GO:0000118	TRINITY_DN17463_c0_g1
GO:0000118	TRINITY_DN554_c0_g1
GO:0000118	TRINITY_DN115755_c0_g1
GO:0000118	TRINITY_DN71436_c0_g1
GO:0000118	TRINITY_DN210126_c0_g1
GO:0000118	TRINITY_DN955_c1_g1
GO:0000118	TRINITY_DN25719_c0_g1
GO:0000118	TRINITY_DN91215_c0_g1
GO:0000118	TRINITY_DN5362_c0_g1
GO:0000118	TRINITY_DN75213_c0_g1
GO:0000118	TRINITY_DN4797_c0_g1
GO:0000118	TRINITY_DN4815_c0_g7
GO:0000118	TRINITY_DN134105_c0_g1
GO:0000118	TRINITY_DN1537_c1_g1
GO:0000118	TRINITY_DN3321_c3_g1
GO:0000118	TRINITY_DN6049_c0_g1
GO:0000118	TRINITY_DN21279_c0_g1
GO:0000118	TRINITY_DN133405_c0_g1
GO:0000118	TRINITY_DN77128_c0_g1
GO:0000118	TRINITY_DN11274_c0_g1
GO:0000118	TRINITY_DN4933_c0_g1
GO:0000120	TRINITY_DN102940_c0_g1
GO:0000120	TRINITY_DN18179_c0_g1
GO:0000120	TRINITY_DN5470_c0_g1
GO:0000120	TRINITY_DN11752_c0_g1
GO:0000123	TRINITY_DN13750_c0_g1
GO:0000123	TRINITY_DN21113_c0_g1
GO:0000123	TRINITY_DN27443_c0_g1
GO:0000123	TRINITY_DN25834_c0_g1
GO:0000123	TRINITY_DN1911_c0_g2
GO:0000123	TRINITY_DN11327_c0_g2
GO:0000123	TRINITY_DN10315_c0_g1
GO:0000123	TRINITY_DN10688_c3_g2
GO:0000123	TRINITY_DN1911_c0_g1
GO:0000123	TRINITY_DN9928_c0_g1
GO:0000123	TRINITY_DN11327_c0_g1
GO:0000124	TRINITY_DN13750_c0_g1
GO:0000126	TRINITY_DN30986_c0_g1
GO:0000131	TRINITY_DN37762_c0_g1
GO:0000131	TRINITY_DN6886_c1_g1
GO:0000131	TRINITY_DN58364_c0_g1
GO:0000137	TRINITY_DN92890_c0_g1
GO:0000138	TRINITY_DN7336_c0_g1
GO:0000138	TRINITY_DN18501_c0_g1
GO:0000138	TRINITY_DN22700_c0_g1
GO:0000139	TRINITY_DN4885_c0_g1
GO:0000139	TRINITY_DN162777_c0_g1
GO:0000139	TRINITY_DN2674_c0_g1
GO:0000139	TRINITY_DN12714_c0_g1
GO:0000139	TRINITY_DN7552_c0_g1
GO:0000139	TRINITY_DN97006_c0_g1
GO:0000139	TRINITY_DN8275_c1_g1
GO:0000139	TRINITY_DN9879_c0_g1
GO:0000139	TRINITY_DN7812_c0_g1
GO:0000139	TRINITY_DN66583_c0_g1
GO:0000139	TRINITY_DN3054_c0_g1
GO:0000139	TRINITY_DN2387_c0_g1
GO:0000139	TRINITY_DN15795_c0_g1
GO:0000139	TRINITY_DN9144_c0_g1
GO:0000139	TRINITY_DN24162_c0_g1
GO:0000139	TRINITY_DN50334_c0_g1
GO:0000139	TRINITY_DN9907_c0_g1
GO:0000139	TRINITY_DN7841_c3_g1
GO:0000139	TRINITY_DN125467_c0_g1
GO:0000139	TRINITY_DN20217_c0_g1
GO:0000139	TRINITY_DN18501_c0_g1
GO:0000139	TRINITY_DN18381_c1_g1
GO:0000139	TRINITY_DN71819_c0_g1
GO:0000139	TRINITY_DN22943_c0_g1
GO:0000139	TRINITY_DN203_c0_g1
GO:0000139	TRINITY_DN10470_c2_g1
GO:0000139	TRINITY_DN725_c1_g2
GO:0000139	TRINITY_DN33770_c0_g1
GO:0000139	TRINITY_DN6786_c0_g2
GO:0000139	TRINITY_DN6212_c0_g1
