V2,Gene
C2C2-GATA,TRINITY_DN102612_c0_g1
B3,TRINITY_DN109668_c0_g1
zf-HD,TRINITY_DN11584_c0_g1
GRAS,TRINITY_DN116902_c0_g1
AP2/ERF-ERF,TRINITY_DN11733_c0_g1
C2H2,TRINITY_DN121287_c0_g1
NF-YB,TRINITY_DN123943_c1_g1
C3H,TRINITY_DN124130_c0_g1
B3,TRINITY_DN124706_c0_g1
C3H,TRINITY_DN146190_c0_g2
GARP-G2-like,TRINITY_DN146_c0_g2
GARP-G2-like,TRINITY_DN147835_c0_g1
SBP,TRINITY_DN150502_c0_g1
RWP-RK,TRINITY_DN1513_c8_g1
C3H,TRINITY_DN15694_c1_g1
MYB,TRINITY_DN16556_c0_g1
AP2/ERF-ERF,TRINITY_DN17550_c0_g1
OFP,TRINITY_DN18353_c0_g1
RWP-RK,TRINITY_DN19191_c0_g2
MADS-MIKC,TRINITY_DN19331_c0_g1
PLATZ,TRINITY_DN1997_c1_g1
AP2/ERF-ERF,TRINITY_DN218733_c0_g1
C3H,TRINITY_DN22875_c1_g1
bHLH,TRINITY_DN228893_c0_g1
SBP,TRINITY_DN2476_c0_g1
PLATZ,TRINITY_DN2488_c0_g2
HSF,TRINITY_DN2502_c0_g1
FAR1,TRINITY_DN253_c2_g1
WRKY,TRINITY_DN2566_c0_g1
PLATZ,TRINITY_DN26085_c0_g1
AP2/ERF-ERF,TRINITY_DN26528_c0_g1
B3,TRINITY_DN29545_c0_g1
BES1,TRINITY_DN29555_c0_g1
SBP,TRINITY_DN29888_c0_g1
CSD,TRINITY_DN30599_c0_g1
RWP-RK,TRINITY_DN31224_c0_g1
RWP-RK,TRINITY_DN3128_c0_g1
WRKY,TRINITY_DN31961_c1_g2
GRAS,TRINITY_DN3376_c0_g1
C2H2,TRINITY_DN3419_c2_g1
C3H,TRINITY_DN3568_c11_g1
WRKY,TRINITY_DN36315_c0_g1
NF-YC,TRINITY_DN36755_c1_g1
CPP,TRINITY_DN37614_c0_g1
bZIP,TRINITY_DN38607_c0_g1
SBP,TRINITY_DN41532_c0_g2
C2H2,TRINITY_DN4176_c3_g1
B3,TRINITY_DN4205_c3_g1
C3H,TRINITY_DN44033_c0_g1
MYB-related,TRINITY_DN47595_c3_g1
Tify,TRINITY_DN48431_c0_g1
C3H,TRINITY_DN49004_c0_g1
RWP-RK,TRINITY_DN4941_c0_g1
RWP-RK,TRINITY_DN51605_c0_g1
C3H,TRINITY_DN5308_c0_g1
bHLH,TRINITY_DN5463_c0_g1
C2H2,TRINITY_DN55827_c0_g1
TUB,TRINITY_DN56837_c2_g1
bZIP,TRINITY_DN6123_c0_g2
WRKY,TRINITY_DN61663_c0_g1
CPP,TRINITY_DN6244_c2_g1
C2H2,TRINITY_DN6331_c0_g3
WRKY,TRINITY_DN64839_c0_g1
B3,TRINITY_DN65759_c1_g1
WRKY,TRINITY_DN65811_c0_g1
WRKY,TRINITY_DN687_c0_g4
RWP-RK,TRINITY_DN69839_c0_g1
NAC,TRINITY_DN72618_c0_g1
NAC,TRINITY_DN75305_c1_g1
MADS-MIKC,TRINITY_DN7618_c0_g1
HB-other,TRINITY_DN8283_c0_g3
MADS-MIKC,TRINITY_DN83_c0_g3
C2C2-Dof,TRINITY_DN84065_c1_g1
MYB-related,TRINITY_DN8752_c0_g1
B3,TRINITY_DN8830_c0_g1
AP2/ERF-ERF,TRINITY_DN96374_c0_g1
C2H2,TRINITY_DN98235_c2_g1
bZIP,TRINITY_DN9900_c0_g1
