V2,Gene
C2C2-Dof,TRINITY_DN10735_c0_g1
WRKY,TRINITY_DN10836_c0_g1
AP2/ERF-ERF,TRINITY_DN10856_c0_g1
MADS-M-type,TRINITY_DN10862_c0_g2
MYB,TRINITY_DN1114_c2_g1
C2H2,TRINITY_DN11340_c0_g1
WRKY,TRINITY_DN116768_c0_g1
NAC,TRINITY_DN11752_c0_g1
GRAS,TRINITY_DN11819_c0_g1
HB-KNOX,TRINITY_DN12152_c0_g1
C2H2,TRINITY_DN12398_c0_g1
TCP,TRINITY_DN1275_c0_g4
MADS-MIKC,TRINITY_DN1330_c1_g1
MADS-M-type,TRINITY_DN1330_c1_g1
WRKY,TRINITY_DN13442_c0_g1
NAC,TRINITY_DN137741_c0_g1
Tify,TRINITY_DN16905_c0_g1
HB-HD-ZIP,TRINITY_DN17119_c0_g1
bHLH,TRINITY_DN17396_c0_g1
MYB,TRINITY_DN17659_c0_g2
MYB,TRINITY_DN17719_c0_g1
MYB-related,TRINITY_DN17719_c0_g1
C2C2-CO-like,TRINITY_DN17995_c0_g1
AP2/ERF-ERF,TRINITY_DN18047_c0_g1
NAC,TRINITY_DN180651_c0_g1
HB-BELL,TRINITY_DN184_c1_g1
LOB,TRINITY_DN18500_c0_g1
AP2/ERF-ERF,TRINITY_DN19687_c0_g1
MYB,TRINITY_DN1_c7_g1
WRKY,TRINITY_DN21012_c0_g1
HB-HD-ZIP,TRINITY_DN26041_c0_g1
C3H,TRINITY_DN281_c0_g1
AP2/ERF-ERF,TRINITY_DN2993_c3_g2
AP2/ERF-ERF,TRINITY_DN31095_c0_g1
AP2/ERF-ERF,TRINITY_DN31941_c0_g1
WRKY,TRINITY_DN3247_c0_g1
WRKY,TRINITY_DN35471_c0_g1
HB-KNOX,TRINITY_DN3554_c2_g3
WRKY,TRINITY_DN3586_c0_g2
HB-HD-ZIP,TRINITY_DN36963_c0_g1
WRKY,TRINITY_DN373_c0_g2
AP2/ERF-ERF,TRINITY_DN4014_c0_g1
MYB,TRINITY_DN41561_c0_g1
NAC,TRINITY_DN417_c0_g1
LOB,TRINITY_DN42937_c0_g1
MADS-M-type,TRINITY_DN43768_c0_g1
AP2/ERF-ERF,TRINITY_DN4934_c0_g1
MYB,TRINITY_DN4935_c0_g1
HSF,TRINITY_DN5026_c0_g1
bHLH,TRINITY_DN5294_c0_g1
C2H2,TRINITY_DN5410_c0_g1
C2C2-CO-like,TRINITY_DN5462_c2_g1
MYB-related,TRINITY_DN587_c2_g1
AP2/ERF-ERF,TRINITY_DN6142_c0_g1
AP2/ERF-ERF,TRINITY_DN6243_c0_g1
WRKY,TRINITY_DN6300_c0_g2
HB-other,TRINITY_DN6489_c1_g1
MADS-MIKC,TRINITY_DN66220_c0_g1
MADS-M-type,TRINITY_DN66220_c0_g1
Tify,TRINITY_DN6663_c0_g1
MYB,TRINITY_DN6729_c0_g1
MYB-related,TRINITY_DN6729_c0_g1
NAC,TRINITY_DN6755_c0_g1
HSF,TRINITY_DN7027_c0_g1
HSF,TRINITY_DN71705_c2_g1
AP2/ERF-ERF,TRINITY_DN71854_c0_g1
GRAS,TRINITY_DN7408_c0_g1
AP2/ERF-ERF,TRINITY_DN79173_c0_g1
AP2/ERF-ERF,TRINITY_DN7936_c0_g1
GARP-G2-like,TRINITY_DN8114_c0_g1
WRKY,TRINITY_DN8244_c0_g1
MADS-MIKC,TRINITY_DN83_c0_g2
AP2/ERF-ERF,TRINITY_DN8469_c0_g1
HB-BELL,TRINITY_DN850_c0_g1
MYB-related,TRINITY_DN86510_c1_g1
NAC,TRINITY_DN9177_c0_g1
MADS-MIKC,TRINITY_DN945_c0_g1
